DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
18/08/1997,0.203646,0.213021,0.202604,0.208333,54624000
19/08/1997,0.207292,0.209375,0.197917,0.202083,47424000
20/08/1997,0.2,0.217448,0.190104,0.216927,105096000
21/08/1997,0.221875,0.225,0.196875,0.201042,99984000
22/08/1997,0.202083,0.208854,0.199479,0.200521,37536000
23/08/1997,0.204167,0.20625,0.198958,0.200781,23280000
24/08/1997,0.2,0.20625,0.197135,0.20625,40560000
25/08/1997,0.204167,0.209375,0.202083,0.202865,34848000
26/08/1997,0.207292,0.208333,0.199219,0.20026,56136000
27/08/1997,0.2,0.201042,0.186979,0.1875,79008000
28/08/1997,0.186458,0.203125,0.183333,0.195052,75744000
29/08/1997,0.196354,0.202083,0.196354,0.2,16296000
30/08/1997,0.203125,0.205208,0.191667,0.198958,30936000
31/08/1997,0.198438,0.198438,0.188542,0.196094,47112000
01/09/1997,0.198958,0.198958,0.180208,0.18125,69624000
02/09/1997,0.180729,0.182813,0.176042,0.18125,50688000
03/09/1997,0.183854,0.19375,0.183333,0.191146,98256000
04/09/1997,0.197917,0.221875,0.192708,0.221354,241920000
05/09/1997,0.220833,0.23099,0.21875,0.226042,104160000
06/09/1997,0.211458,0.228125,0.209375,0.225,113136000
07/09/1997,0.2375,0.253125,0.227083,0.251302,189840000
08/09/1997,0.240104,0.250521,0.211458,0.213542,121824000
09/09/1997,0.195833,0.25,0.19375,0.247396,234384000
10/09/1997,0.257292,0.275,0.25,0.269531,142536000
11/09/1997,0.260417,0.267708,0.252083,0.25625,95400000
12/09/1997,0.268229,0.272917,0.248438,0.254167,100536000
